Rk,Gcar,Gtm,Date,Tm,Column1,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
150,1549,152,Sep 23,STL,@,PIT,"W,9-2",GS-8,5,4,3,3,0,0,2,3,0,0,0,1,0,0,0,0,0,0,.309,.406,.597,1.003,3,.43,0.257,.00,0.00%,3.68,1B
151,1550,153,Sep 24,STL,@,CHC,"W,7-1",CG,5,2,2,1,0,0,0,0,3,0,1,0,0,0,0,0,1,0,.310,.409,.596,1.005,3,.42,0.068,.00,0.00%,1.75,1B
152,1551,154,Sep 25,STL,@,CHC,"L,3-7",CG,4,3,1,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,.312,.411,.599,1.010,3,.84,0.104,.02,0.00%,1.25,1B
153,1552,155,Sep 26,STL,@,CHC,"W,8-7",CG,6,4,1,1,0,0,1,3,2,2,0,0,0,0,0,0,0,0,.311,.412,.601,1.013,3,.67,0.171,.01,0.00%,1.57,1B
154,1553,156,Sep 27,STL,,PIT,"W,6-4",CG,4,3,1,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,.313,.414,.602,1.015,3,1.52,0.132,.00,0.00%,0.83,1B
155,1554,157,Sep 28,STL,,PIT,"L,2-7",GS-9,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,.313,.414,.600,1.015,3,.96,-0.029,.00,0.00%,-0.22,1B
156,1555,159 (1),Sep 30,STL,,COL,"W,6-1",GS-8,4,3,2,2,1,0,0,1,1,0,0,0,0,0,0,0,1,0,.315,.416,.602,1.019,3,.59,0.159,.00,0.00%,1.96,1B
157,1556,160,Oct 1,STL,,COL,"W,3-0",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.313,.414,.598,1.012,3,.63,-0.079,.00,0.00%,-1.18,1B
158,1557,161,Oct 2,STL,,COL,"W,1-0",9-9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.313,.415,.598,1.013,5,2.23,0.074,.00,0.00%,0.38,PH
159,1558,162,Oct 3,STL,,COL,"W,6-1",GS-5,3,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,.312,.414,.596,1.011,3,.84,0.214,.00,0.00%,2.17,1B
