Rk,Gcar,Gtm,Date,Tm,Column1,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
92,1132,95,Jul 24,DET,,TOR,"L,2-3",CG,4,4,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,.349,.421,.654,1.075,4,1.91,0.003,2.37,0.00%,0.38,1B
93,1133,96,Jul 25 (1),DET,,TOR,"L,3-5",CG,4,3,0,1,0,0,0,1,1,1,2,0,0,0,0,0,0,0,.349,.422,.651,1.073,4,2.35,0.206,2.70,0.14%,0.55,DH
94,1134,97,Jul 25 (2),DET,,TOR,"W,6-5",CG,4,4,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.350,.423,.653,1.075,4,1.97,0.296,2.12,0.19%,1.47,1B
95,1135,98,Jul 26,DET,@,TBR,"L,0-5",CG,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.347,.420,.647,1.067,4,.86,-0.065,1.03,-0.05%,-0.67,1B
96,1136,99,Jul 27,DET,@,TBR,"L,2-3",CG,5,4,1,2,2,0,0,0,1,1,0,0,0,0,0,1,0,0,.349,.422,.651,1.073,4,2.75,-0.230,2.81,-0.14%,-0.06,1B
97,1137,100,Jul 28,DET,@,TBR,"L,4-7",CG,4,2,1,1,0,0,1,1,2,1,0,0,0,0,0,0,0,0,.350,.425,.658,1.083,4,1.57,0.194,1.40,0.10%,1.36,1B
98,1138,101,Jul 29,DET,@,TBR,"L,2-4",CG,4,3,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,.347,.423,.653,1.076,4,1.67,-0.029,1.19,-0.01%,-0.43,1B
99,1139,102,Jul 30,DET,@,BOS,"W,6-5",CG,5,4,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.349,.425,.651,1.077,4,.72,0.031,.41,0.01%,0.38,1B
100,1140,103,Jul 31,DET,@,BOS,"L,4-5",CG,4,3,1,2,0,0,1,2,1,1,0,0,0,0,0,0,0,0,.351,.428,.660,1.088,4,.45,0.181,.26,0.06%,2.11,1B
Aug,Aug,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
101,1141,104,Aug 1,DET,@,BOS,"L,3-4",GS-9,4,3,0,1,1,0,0,2,1,0,1,0,0,0,0,0,0,0,.351,.429,.660,1.088,4,1.25,0.223,.64,0.07%,1.66,1B
102,1142,105,Aug 3 (1),DET,,CHW,"L,2-12",GS-8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.348,.426,.654,1.080,4,.59,-0.046,.35,-0.02%,-0.58,1B
103,1143,106,Aug 3 (2),DET,,CHW,"W,7-1",CG,5,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,.346,.426,.649,1.075,4,.54,0.028,.24,0.01%,-0.27,1B
104,1144,107,Aug 4,DET,,CHW,"L,1-4",CG,4,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.345,.426,.647,1.073,4,1.34,-0.062,.81,-0.02%,-0.49,1B
105,1145,108,Aug 5,DET,,CHW,"L,4-6",CG(11),5,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,.346,.430,.646,1.076,4,1.73,0.168,.69,0.04%,1.10,1B
106,1146,109,Aug 6,DET,,LAA,"L,2-4",CG,4,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.344,.431,.643,1.074,4,1.39,-0.024,.25,0.00%,0.18,1B
107,1147,110,Aug 7,DET,,LAA,"L,1-10",GS-8,3,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.345,.433,.642,1.075,4,.49,-0.002,.07,0.00%,0.17,1B
108,1148,111,Aug 8,DET,,LAA,"W,9-4",CG,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.343,.430,.636,1.066,4,.65,-0.059,.06,0.00%,-0.91,1B
109,1149,112,Aug 9,DET,,TBR,"L,3-6",CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.341,.429,.632,1.060,4,1.37,-0.106,.17,-0.01%,-0.77,1B
