Rk,Gcar,Gtm,Date,Tm,Column1,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
42,684,42,May 23,SEA,@,BAL,"L,2-4",CG,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.364,0.477,0.721,1.197,3,1.26,-0.057,1.66,-0.0005,-0.41,SS
43,685,43,May 24,SEA,@,BAL,"L,3-4",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.354,0.467,0.703,1.17,3,1.01,-0.111,1.3,-0.0009,-0.89,SS
44,686,44,May 25,SEA,@,BAL,"L,1-5",CG,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352,0.463,0.691,1.154,3,1.01,-0.002,1.3,0,-0.13,SS
45,687,45,May 26,SEA,@,TBD,"W,11-4",CG,5,4,2,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0.349,0.461,0.681,1.142,3,0.38,0.016,0.45,0.0001,-0.03,SS
46,688,46,May 27,SEA,@,TBD,"W,6-3",CG,5,5,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.351,0.46,0.673,1.132,3,0.84,-0.016,1.05,-0.0001,-0.05,SS
47,689,47,May 28,SEA,@,TBD,"L,4-14",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.343,0.451,0.657,1.108,3,0.96,-0.148,1.29,-0.0012,-1.3,SS
48,690,48,May 29,SEA,,CHW,"W,5-4",CG,4,3,1,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0.343,0.452,0.652,1.104,3,1.48,0.213,1.93,0.0017,1.5,SS
49,691,49,May 30,SEA,,CHW,"L,1-2",CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.341,0.448,0.643,1.091,3,1.28,-0.072,1.74,-0.0006,-0.44,SS
50,692,50,May 31,SEA,,CHW,"L,3-4",CG,5,4,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0.333,0.443,0.629,1.072,3,1.06,-0.032,1.38,-0.0003,0.04,SS
51,693,51,Jun 2,SEA,,SDP,"W,7-4",CG,5,4,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.332,0.442,0.621,1.063,3,0.74,-0.129,0.92,-0.001,-1.02,SS
52,694,52,Jun 3,SEA,,SDP,"L,4-7",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.325,0.435,0.608,1.043,3,0.57,-0.06,0.72,-0.0005,-0.68,SS
53,695,53,Jun 4,SEA,,SDP,"W,6-4",CG,4,4,2,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0.328,0.436,0.621,1.057,3,0.63,0.129,0.79,0.001,2.16,SS
54,696,54,Jun 5,SEA,,COL,"W,6-2",CG,4,4,2,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0.337,0.441,0.639,1.079,3,0.89,0.227,1.12,0.0017,3.09,SS
55,697,55,Jun 6,SEA,,COL,"W,4-1",CG,4,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.332,0.438,0.629,1.067,3,0.88,-0.015,1.13,-0.0001,-0.24,SS
56,698,56,Jun 7,SEA,,COL,"L,1-6",CG,4,3,1,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.341,0.447,0.635,1.081,3,1.14,0.197,1.49,0.0016,1.84,SS
57,699,57,Jun 9,SEA,@,SFG,"L,2-9",CG,4,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.34,0.444,0.642,1.085,3,0.66,0.038,0.82,0.0003,0.08,SS
58,700,58,Jun 10,SEA,@,SFG,"W,5-2",CG,5,2,0,2,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0.346,0.454,0.645,1.099,3,1.12,0.203,1.34,0.0015,2.33,SS
59,701,59,Jun 11,SEA,@,SFG,"W,9-2",CG,6,5,1,3,2,0,0,3,1,0,1,0,0,0,0,0,0,0,0.352,0.459,0.653,1.112,3,0.77,0.198,0.99,0.0015,2.07,SS
60,702,60,Jun 12,SEA,@,KCR,"W,5-3",CG,4,3,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0.347,0.456,0.644,1.1,3,0.9,-0.039,1.26,-0.0003,-0.85,SS
61,703,61,Jun 13,SEA,@,KCR,"W,7-0",CG(6),3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.342,0.451,0.636,1.086,3,0.56,-0.013,0.82,-0.0001,-0.45,SS
62,704,62,Jun 14,SEA,@,KCR,"L,4-5",CG,5,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.341,0.45,0.629,1.079,3,1.27,-0.068,1.89,-0.0006,-0.64,SS
63,705,63,Jun 15,SEA,@,MIN,"W,12-5",CG,6,6,1,3,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0.345,0.451,0.638,1.089,3,0.57,0.084,0.8,0.0007,2.11,SS
64,706,64,Jun 16,SEA,@,MIN,"L,2-7",GS-8,4,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0.342,0.452,0.633,1.085,3,0.42,0.015,0.59,0.0001,0.05,SS
